monto,hora,intentos,distancia,antiguedad,es_fraude
485.38,3,0,13.95,921,0
17.84,2,0,4.75,817,0
103.2,15,0,4.72,927,0
510.73,22,0,54.49,430,0
128.2,21,0,18.51,970,0
1703.34,17,0,6.89,710,0
294.92,16,0,19.23,418,0
24.22,21,0,9.29,941,0
303.71,7,0,1.05,207,0
52.09,21,0,14.06,633,0
611.85,21,0,36.27,490,0
487.06,14,0,1.91,377,0
1162.93,3,0,20.22,517,0
563.07,3,0,29.01,51,0
177.84,6,0,3.33,867,0
554.08,13,0,4.9,117,0
1770.5,0,1,3.22,836,0
152.15,18,0,34.13,536,0
2054.69,21,0,7.29,885,0
264.66,7,0,13.29,904,0
361.75,23,0,5.42,104,0
997.24,16,0,13.09,82,0
227.01,20,0,7.25,429,0
533.54,18,0,18.94,260,0
1287.25,0,0,27.72,849,0
50.98,19,0,35.84,989,0
33.61,20,1,3.78,163,0
1035.29,18,0,0.82,590,0
493.27,23,1,2.27,492,0
431.32,21,0,28.5,97,0
316.22,10,0,24.31,209,0
431.63,11,0,6.25,805,0
406.28,23,0,6.49,521,0
363.47,1,2,90.12,159,0
1843.52,23,0,3.92,972,0
674.44,5,2,16.23,882,0
48.78,3,0,10.02,751,0
771.51,9,0,55.38,146,0
364.72,17,0,34.42,937,0
375.08,4,1,6.17,619,0
897.04,4,0,11.04,108,0
759.88,10,0,11.46,309,0
1345.73,21,0,13.72,229,0
452.52,8,1,22.6,955,0
310.38,2,0,6.91,339,0
1887.51,23,0,29.99,145,0
510.84,7,0,59.08,41,0
297.61,7,0,24.27,835,0
188.85,1,0,10.22,249,0
357.08,8,0,34.28,444,0
530.43,10,0,14.2,372,0
1841.66,15,0,2.64,146,0
353.51,10,0,40.36,917,0
422.39,9,0,1.12,783,0
66.51,14,0,88.79,452,0
417.0,7,0,12.08,359,0
333.26,16,0,22.25,224,0
88.18,15,0,1.63,987,0
763.68,2,0,10.89,412,0
179.5,15,0,24.68,924,0
506.3,5,0,15.25,821,0
416.68,19,0,5.79,764,0
64.73,19,0,10.08,425,0
418.17,22,0,34.81,555,0
1420.33,19,0,16.59,905,0
104.99,14,1,27.74,92,0
1807.59,3,0,1.68,843,0
593.54,2,0,20.92,424,0
71.25,11,0,1.36,715,0
1160.64,2,0,17.08,763,0
85.23,5,0,4.29,205,0
425.9,21,0,2.06,671,0
359.97,20,0,1.12,501,0
950.72,13,0,22.44,107,0
107.83,21,0,18.28,618,0
199.48,13,0,21.4,920,0
284.33,18,0,33.48,29,0
112.78,7,0,1.62,887,0
27.52,18,0,18.91,793,0
60.49,15,0,3.83,403,0
97.87,6,0,4.75,308,0
511.62,5,0,28.27,933,0
408.48,22,0,16.96,618,0
714.07,12,0,47.11,111,0
503.61,1,0,6.19,260,0
46.54,17,0,31.45,22,0
216.7,2,0,26.64,195,0
918.15,11,0,5.76,768,0
