monto,hora,intentos,distancia,antiguedad,es_fraude
260.14,6,0,18.54,98,0
26871.59,2,3,1642.88,2,1
580.32,14,0,4.62,549,0
788.0,8,0,5.38,543,0
374.99,7,0,17.41,854,0
1329.71,2,0,7.16,792,0
1340.81,11,0,16.2,536,0
23426.04,0,5,884.44,2,1
339.15,6,0,4.64,120,0
632.01,3,0,3.65,26,0
728.19,1,0,8.96,281,0
20961.11,22,3,1052.62,1,1
213.57,20,0,34.55,126,0
112.76,9,0,22.48,452,0
703.05,21,0,9.52,693,0
1129.36,22,0,8.95,436,0
915.21,11,0,39.24,460,0
16.04,16,0,2.3,577,0
54.64,7,0,4.96,71,0
144.99,23,0,31.56,746,0
66.11,11,0,5.34,124,0
890.06,9,0,18.2,857,0
794.95,19,0,10.65,813,0
33.1,7,1,6.78,701,0
283.84,1,0,40.44,772,0
540.35,23,0,44.22,323,0
62.4,19,2,41.58,232,0
1011.5,14,0,15.56,56,0
508.17,4,0,5.5,265,0
175.59,0,0,11.86,918,0
104.32,15,0,16.81,27,0
200.91,2,0,17.38,264,0
706.7,1,0,67.31,603,0
26656.03,3,4,416.88,1,1
26422.85,3,5,1330.75,3,1
819.84,14,0,21.92,344,0
645.12,8,0,8.41,376,0
333.44,6,0,23.56,269,0
501.05,3,0,13.86,25,0
605.03,4,2,12.97,251,0
90.06,6,0,3.79,158,0
219.17,3,0,34.06,888,0
27.52,11,0,8.19,367,0
8080.96,3,3,1861.17,5,1
495.36,2,0,55.79,859,0
304.64,12,0,10.03,56,0
289.87,20,0,25.13,214,0
1296.31,18,0,32.99,692,0
195.75,18,0,5.55,18,0
1263.71,15,0,76.12,986,0
11736.35,4,5,1424.61,4,1
109.63,2,0,22.2,240,0
24148.61,3,3,1373.14,4,1
11821.06,3,4,1878.9,3,1
188.29,9,0,22.8,799,0
15599.59,2,5,1323.55,5,1
92.29,16,0,32.76,146,0
613.82,8,0,6.93,575,0
598.37,22,0,15.18,381,0
1942.38,18,0,39.88,703,0
641.62,15,0,26.27,553,0
315.22,11,0,29.29,383,0
53.45,17,0,2.42,325,0
25.44,3,0,5.56,869,0
96.25,19,0,72.4,179,0
266.83,16,0,40.02,428,0
487.34,13,0,8.07,834,0
1820.81,11,0,4.63,594,0
245.68,1,0,89.66,56,0
13901.53,22,3,1120.38,1,1
628.37,18,0,3.66,895,0
175.52,20,0,2.65,159,0
754.69,19,0,12.18,589,0
181.42,17,0,29.7,623,0
430.17,10,0,13.96,280,0
366.32,0,0,14.37,106,0
1318.02,23,1,2.04,500,0
173.35,4,0,18.34,724,0
1529.78,18,0,135.39,401,0
869.05,2,0,4.36,653,0
14586.11,4,5,518.94,3,1
55.49,20,0,25.96,212,0
213.89,12,0,32.62,523,0
842.17,18,0,17.89,568,0
1628.85,19,0,1.49,272,0
308.87,3,0,5.79,480,0
179.5,6,0,11.41,443,0
38.66,4,0,38.29,299,0
11454.27,2,4,872.68,1,1
2327.05,11,0,39.19,729,0
103.44,16,0,1.59,279,0
771.13,23,0,15.43,809,0
219.33,11,0,5.15,123,0
361.1,14,0,5.1,117,0
367.79,17,0,2.66,746,0
1005.46,6,0,6.6,598,0
447.46,1,0,2.94,52,0
162.23,8,0,6.59,269,0
467.64,17,0,9.56,18,0
918.38,11,0,4.8,173,0
169.74,19,0,3.25,477,0
254.11,0,0,1.98,632,0
203.37,17,0,29.87,885,0
274.76,9,0,21.49,31,0
11798.43,5,3,1545.58,3,1
249.74,6,0,2.32,500,0
2162.07,18,0,37.86,92,0
853.14,4,0,5.91,228,0
575.28,18,0,5.44,702,0
134.29,12,0,3.69,245,0
638.27,19,0,11.59,984,0
13.71,12,0,10.92,530,0
26918.06,2,5,1111.03,4,1
45.23,21,0,7.23,487,0
761.93,3,0,1.25,276,0
22493.62,23,3,497.45,0,1
2486.9,12,0,8.99,185,0
1015.83,21,0,34.39,241,0
25586.22,3,3,1508.67,4,1
137.55,20,0,16.16,984,0
95.02,7,0,17.85,561,0
17386.44,4,4,1326.9,4,1
431.18,9,0,12.76,557,0
142.54,6,0,54.09,461,0
360.72,1,0,13.47,725,0
186.88,12,0,25.59,105,0
495.25,5,0,30.2,615,0
16527.58,0,3,1199.28,0,1
529.8,21,0,6.8,800,0
519.39,20,0,14.83,846,0
404.2,9,0,140.17,101,0
99.18,21,0,14.41,528,0
385.59,8,0,49.31,106,0
1022.48,12,0,21.61,876,0
8697.53,2,4,811.97,1,1
1158.36,5,0,35.42,579,0
910.83,15,0,27.63,363,0
986.69,18,0,13.47,78,0
471.77,10,0,24.86,425,0
11352.24,22,5,956.45,1,1
7566.64,2,5,1434.1,0,1
371.01,2,0,81.89,295,0
706.75,19,0,10.0,224,0
43.2,9,0,12.13,202,0
776.87,9,0,11.15,99,0
44.17,5,0,80.31,403,0
229.47,20,0,26.13,250,0
39.39,4,0,22.31,271,0
15.99,2,0,45.3,902,0
2049.18,10,0,23.22,692,0
18024.97,5,5,619.56,0,1
1058.28,7,0,23.27,500,0
63.73,18,0,1.51,262,0
35.0,13,0,9.38,791,0
8192.48,1,4,1331.9,3,1
114.27,21,0,60.05,439,0
927.38,15,0,3.32,173,0
866.0,0,0,7.68,617,0
170.25,18,0,37.45,854,0
686.79,4,0,24.39,887,0
77.4,13,0,29.48,937,0
1654.82,9,0,9.41,139,0
847.93,5,0,2.47,96,0
909.27,11,0,14.75,550,0
178.53,0,0,12.31,131,0
27.0,8,0,25.91,345,0
132.78,11,0,14.22,550,0
87.88,2,1,6.03,30,0
710.64,18,0,4.41,775,0
225.99,0,0,8.41,313,0
1325.64,12,2,7.91,117,0
1192.96,17,0,6.82,273,0
159.85,16,0,3.18,605,0
125.1,6,0,16.78,643,0
1466.75,12,0,5.17,126,0
862.72,3,0,3.21,840,0
370.01,4,0,3.79,633,0
671.46,4,0,4.65,306,0
11684.39,1,4,599.38,1,1
395.31,20,0,2.12,573,0
164.69,21,0,12.28,202,0
431.4,8,0,9.36,528,0
22602.66,5,4,1967.93,2,1
11430.66,1,5,1819.27,1,1
66.6,18,0,34.98,402,0
507.99,6,0,2.63,403,0
728.01,9,0,57.43,83,0
1048.7,8,0,13.85,672,0
165.99,17,0,6.95,646,0
793.58,14,0,20.71,455,0
60.22,6,0,22.13,640,0
20305.05,23,4,427.06,1,1
27902.52,3,4,411.27,0,1
128.77,3,0,23.72,66,0
1247.37,11,0,20.89,595,0
1905.75,8,0,27.51,593,0
62.77,11,0,5.56,267,0
8121.53,1,4,1970.21,5,1
18349.48,2,3,1849.76,2,1
869.76,8,0,4.1,186,0
74.13,11,0,6.59,859,0
935.58,9,0,27.33,697,0
233.77,1,0,2.47,468,0
19973.7,2,3,455.05,0,1
856.56,20,0,10.9,831,0
1098.4,16,0,6.72,368,0
280.11,20,0,1.58,570,0
1043.89,17,0,4.79,556,0
362.66,14,1,39.15,295,0
555.83,10,0,4.11,741,0
1464.73,18,0,1.15,181,0
696.04,0,0,27.35,381,0
2025.86,6,0,5.73,659,0
300.07,20,0,11.74,548,0
681.48,0,0,2.09,32,0
124.24,15,0,15.16,702,0
342.65,5,0,41.64,64,0
309.95,23,0,26.41,856,0
52.6,5,0,13.44,552,0
390.77,2,0,46.79,958,0
245.66,17,1,13.28,408,0
762.51,8,0,11.43,795,0
1365.88,1,0,10.63,646,0
976.08,22,0,18.63,337,0
290.92,8,0,21.88,665,0
180.85,3,0,23.38,589,0
15904.28,3,3,1214.65,4,1
152.7,15,0,16.24,153,0
22433.4,5,3,782.4,5,1
31.22,9,1,10.12,959,0
1694.99,18,0,1.14,180,0
986.45,7,0,4.48,348,0
687.44,15,0,20.49,872,0
1156.44,5,0,34.31,419,0
939.55,5,0,1.76,554,0
1149.1,7,0,5.86,245,0
793.45,23,0,69.97,83,0
180.65,10,0,17.76,976,0
395.64,0,0,11.21,129,0
1624.04,10,0,1.28,631,0
6344.95,1,5,1358.97,1,1
6318.75,4,3,1135.3,4,1
7733.12,1,3,1205.15,1,1
342.08,2,0,4.78,27,0
129.79,15,0,66.58,346,0
24300.82,1,4,825.97,0,1
824.04,2,0,55.49,83,0
16918.97,5,3,611.95,1,1
22062.38,23,4,817.08,4,1
26478.84,22,3,558.78,5,1
162.38,14,0,3.15,485,0
63.33,12,1,47.63,541,0
11608.57,22,3,777.09,0,1
730.16,17,0,41.29,104,0
32.76,22,0,4.51,992,0
311.9,20,0,15.11,167,0
10600.11,22,3,978.38,1,1
393.6,19,0,32.88,454,0
329.24,22,0,2.14,502,0
268.35,0,1,26.9,545,0
146.13,2,0,16.01,935,0
8563.7,1,3,570.03,1,1
103.49,16,0,8.81,30,0
411.16,11,0,23.32,953,0
15056.36,0,3,1196.03,2,1
722.56,1,0,22.81,948,0
281.44,5,0,26.66,115,0
124.69,1,0,13.42,135,0
120.45,21,0,35.4,557,0
202.26,9,0,15.65,434,0
52.75,15,0,18.51,873,0
246.01,19,0,7.29,808,0
17845.05,2,4,1475.3,2,1
10849.94,3,5,1013.42,2,1
820.44,15,0,27.01,417,0
92.0,10,0,29.24,640,0
118.45,11,0,3.16,402,0
610.96,5,0,33.37,857,0
328.69,1,0,42.74,243,0
716.4,17,0,11.34,919,0
28708.49,22,5,480.52,5,1
361.96,10,0,28.2,185,0
2725.25,15,0,4.36,494,0
153.16,12,0,2.27,982,0
271.62,18,0,21.97,672,0
37.14,18,0,10.22,109,0
368.66,21,0,43.81,26,0
120.13,1,0,15.18,494,0
71.84,13,0,33.46,340,0
186.35,5,0,2.94,902,0
524.74,1,2,1.04,228,0
94.71,0,1,2.97,377,0
47.64,6,0,51.52,484,0
162.36,19,1,6.98,736,0
199.57,23,0,44.92,323,0
266.22,3,0,33.51,300,0
377.19,14,0,31.33,21,0
624.18,6,0,3.24,476,0
107.06,5,2,31.34,126,0
359.76,5,0,17.15,749,0
252.07,19,0,9.74,886,0
1018.03,6,0,5.85,304,0
402.77,8,0,19.66,830,0
113.84,19,0,17.28,53,0
105.57,15,0,3.46,338,0
19197.05,22,3,1476.98,5,1
131.33,9,0,15.67,883,0
1849.66,10,0,2.04,788,0
61.23,7,0,57.56,272,0
1328.14,1,0,37.1,250,0
538.82,4,0,19.67,20,0
118.42,7,0,15.22,271,0
635.2,0,0,4.05,799,0
16370.79,0,4,1123.54,2,1
1678.16,14,0,41.51,295,0
183.92,22,0,10.3,292,0
773.75,7,0,20.95,316,0
250.93,21,0,1.27,560,0
383.22,11,0,44.9,892,0
565.43,15,0,9.38,127,0
652.83,20,0,2.76,788,0
491.3,12,0,9.91,316,0
302.0,8,1,11.51,26,0
1035.87,16,0,26.26,644,0
12414.21,4,4,551.04,0,1
115.32,3,0,22.86,817,0
528.15,5,0,11.82,94,0
1023.25,10,0,7.25,206,0
13.69,11,0,4.22,245,0
1277.71,15,0,63.03,368,0
1460.37,22,0,38.74,442,0
147.38,12,0,6.94,970,0
230.63,7,0,36.46,154,0
487.84,22,1,49.66,873,0
383.03,22,0,36.16,254,0
37.6,21,0,16.1,871,0
21494.3,22,5,1572.6,2,1
2413.75,6,0,17.65,396,0
533.11,19,0,24.64,824,0
302.55,13,0,9.0,421,0
1265.1,16,0,32.82,128,0
1043.21,16,0,15.79,918,0
198.87,20,0,28.57,941,0
227.11,11,0,3.68,949,0
286.51,11,0,27.58,989,0
361.72,11,0,2.2,244,0
451.85,4,1,30.12,110,0
349.52,19,0,57.7,710,0
347.47,20,0,17.52,147,0
247.95,15,0,26.01,534,0
651.58,18,0,4.11,176,0
29251.55,23,3,501.76,5,1
473.07,17,2,12.25,332,0
355.74,23,0,20.11,657,0
140.94,19,0,7.16,890,0
1083.62,9,0,25.24,59,0
396.23,16,0,22.46,920,0
308.09,5,1,26.03,304,0
24090.44,0,4,1599.38,2,1
506.95,20,0,1.2,276,0
69.61,15,1,10.68,309,0
99.37,16,0,8.1,892,0
146.04,16,1,3.8,550,0
274.95,6,0,31.33,108,0
20584.46,22,4,1745.77,0,1
54.29,3,0,50.33,549,0
14372.89,4,5,730.63,0,1
26292.26,22,5,1213.57,5,1
943.23,1,0,16.4,560,0
137.88,10,0,65.27,437,0
44.49,16,0,27.6,981,0
237.35,12,0,6.3,729,0
1313.15,6,1,41.49,377,0
1105.84,6,0,20.53,340,0
827.29,4,0,15.64,983,0
55.03,0,0,4.12,106,0
703.69,0,0,18.62,66,0
159.68,8,0,10.12,453,0
10.8,3,1,6.49,612,0
478.07,1,0,4.36,690,0
863.93,20,0,10.77,615,0
698.2,6,0,2.64,242,0
516.43,13,0,51.52,354,0
15029.51,23,5,1810.73,0,1
1228.63,21,0,23.12,572,0
217.52,12,0,5.24,425,0
230.22,13,0,10.69,333,0
339.74,2,0,3.5,170,0
742.9,10,0,16.25,71,0
1455.36,10,0,13.88,344,0
9097.56,5,5,712.57,2,1
732.16,12,0,23.35,448,0
661.89,23,0,11.99,982,0
656.34,15,0,22.1,753,0
399.16,13,0,33.99,793,0
14295.77,1,5,1100.98,3,1
9321.54,0,3,1239.48,1,1
45.91,8,0,18.7,792,0
308.74,5,0,19.43,212,0
1135.7,10,0,46.77,152,0
115.09,17,0,5.41,608,0
13694.88,23,4,782.99,1,1
378.21,6,0,3.9,409,0
420.17,23,0,9.51,162,0
804.73,20,0,9.07,804,0
15469.23,0,4,846.63,5,1
1043.01,10,0,3.82,475,0
477.57,12,0,17.21,350,0
12264.68,0,3,1603.75,2,1
195.07,4,0,11.25,56,0
226.71,10,0,33.08,924,0
15966.27,1,4,854.21,1,1
23781.2,2,3,968.85,1,1
